headline,publisher,date,stock,clean_text,label
Agilent Technologies Announces Pricing of $5…… Million of Senior Notes,GuruFocus,6/1/2020 0:00,A,agilent technologies announces pricing       million senior notes,negative
Agilent (A) Gears Up for Q2 Earnings: What's in the Cards?,Zacks,5/18/2020 0:00,A,agilent gears earnings cards,negative
J.P. Morgan Asset Management Announces Liquidation of Six Exchange-Traded Funds,GuruFocus,5/15/2020 0:00,A,morgan asset management announces liquidation six exchange traded funds,negative
"Pershing Square Capital Management, L.P. Buys Agilent Technologies Inc, The Howard Hughes Corp, ...",GuruFocus,5/15/2020 0:00,A,pershing square capital management buys agilent technologies inc howard hughes corp     ,negative
Agilent Awards Trilogy Sciences with a Golden Ticket at LabCentral,GuruFocus,5/12/2020 0:00,A,agilent awards trilogy sciences golden ticket labcentral,neutral
Agilent Technologies Inc (A) CEO and President Michael R. Mcmullen Sold $–.4 million of Shares,GuruFocus,5/11/2020 0:00,A,agilent technologies inc ceo president michael mcmullen sold       million shares,negative
' Stocks Growing Their Earnings Fast,GuruFocus,5/7/2020 0:00,A,stocks growing earnings fast,neutral
"Cypress Asset Management Inc Buys Verizon Communications Inc, United Parcel Service Inc, ...",GuruFocus,5/7/2020 0:00,A,cypress asset management inc buys verizon communications inc united parcel service inc     ,negative
"Hendley & Co Inc Buys American Electric Power Co Inc, Agilent Technologies Inc, Paychex ...",GuruFocus,5/5/2020 0:00,A,hendley inc buys american electric power inc agilent technologies inc paychex    ,negative
"Teacher Retirement System Of Texas Buys Hologic Inc, Vanguard Total Stock Market, Agilent ...",GuruFocus,5/5/2020 0:00,A,teacher retirement system texas buys hologic inc vanguard total stock market agilent    ,negative
"Cookson Peirce & Co Inc Buys Eli Lilly and Co, Vertex Pharmaceuticals Inc, Netflix Inc, ...",GuruFocus,5/4/2020 0:00,A,cookson peirce inc buys eli lilly vertex pharmaceuticals inc netflix inc     ,negative
Agilent Technologies Inc (A) CEO and President Michael R. Mcmullen Sold $–.– million of Shares,GuruFocus,4/30/2020 0:00,A,agilent technologies inc ceo president michael mcmullen sold       million shares,negative
"Agilent Technologies Inc (A) CEO and President Michael R. Mcmullen Sold $67–,6—7 of Shares",GuruFocus,4/28/2020 0:00,A,agilent technologies inc ceo president michael mcmullen sold           shares,negative
"S.E.E.D. Planning Group LLC Buys VanEck Vectors Morningstar Wide Moat, PepsiCo Inc, Ecolab Inc, ...",GuruFocus,4/17/2020 0:00,A,planning group llc buys vaneck vectors morningstar wide moat pepsico inc ecolab inc     ,negative
Agilent (A) Withdraws Q2 & FY20 View Amid Coronavirus Crisis,Zacks,4/15/2020 0:00,A,agilent withdraws     view amid coronavirus crisis,positive
Top –st-Quarter Buys of Jerome Dodson's Parnassus Fund,GuruFocus,4/14/2020 0:00,A,top quarter buys jerome dodson parnassus fund,negative
Bill Ackman on Agilent Technologies,GuruFocus,4/14/2020 0:00,A,bill ackman agilent technologies,negative
Bill Ackman's Pershing Square —…–9 Annual Letter to Shareholders,GuruFocus,4/14/2020 0:00,A,bill ackman pershing square       annual letter shareholders,negative
Parnassus Endeavor Fund Adds ' Stocks to Portfolio in –st Quarter,GuruFocus,4/13/2020 0:00,A,parnassus endeavor fund adds stocks portfolio quarter,negative
"Parnassus Endeavor Fund Buys FedEx Corp, VF Corp, Expeditors International of Washington Inc, ...",GuruFocus,4/10/2020 0:00,A,parnassus endeavor fund buys fedex corp corp expeditors international washington inc     ,negative
